Date,Meals_Requested
2021-01-01,6026
2021-01-02,5497
2021-01-03,4648
2021-01-04,4687
2021-01-05,4557
2021-01-06,4804
2021-01-07,5146
2021-01-08,5149
2021-01-09,4861
2021-01-10,4781
2021-01-11,4779
2021-01-12,4142
2021-01-13,6627
2021-01-14,6693
2021-01-15,6800
2021-01-16,5985
2021-01-17,5956
2021-01-18,4240
2021-01-19,4025
2021-01-20,4538
2021-01-21,4284
2021-01-22,4389
2021-01-23,4260
2021-01-24,4189
2021-01-25,4578
2021-01-26,4693
2021-01-27,5151
2021-01-28,4172
2021-01-29,4105
2021-01-30,5061
2021-01-31,4298
2021-02-01,4459
2021-02-02,4841
2021-02-03,4570
2021-02-04,4853
2021-02-05,5043
2021-02-06,4882
2021-02-07,4497
2021-02-08,4638
2021-02-09,4855
2021-02-10,4434
2021-02-11,4670
2021-02-12,4981
2021-02-13,5057
2021-02-14,4682
2021-02-15,4764
2021-02-16,4165
2021-02-17,4181
2021-02-18,4620
2021-02-19,4396
2021-02-20,4727
2021-02-21,4313
2021-02-22,3843
2021-02-23,3749
2021-02-24,4043
2021-02-25,3969
2021-02-26,4430
2021-02-27,4410
2021-02-28,4520
2021-03-01,4884
2021-03-02,4517
2021-03-03,4110
2021-03-04,5040
2021-03-05,4814
2021-03-06,4540
2021-03-07,5601
2021-03-08,6709
2021-03-09,5757
2021-03-10,5831
2021-03-11,7031
2021-03-12,6865
2021-03-13,5642
2021-03-14,4501
2021-03-15,4464
2021-03-16,4132
2021-03-17,4442
2021-03-18,4619
2021-03-19,4966
2021-03-20,4552
2021-03-21,5275
2021-03-22,3912
2021-03-23,4153
2021-03-24,4451
2021-03-25,4161
2021-03-26,4514
2021-03-27,4730
2021-03-28,4157
2021-03-29,4776
2021-03-30,4122
2021-03-31,4633
2021-04-01,5483
2021-04-02,5813
2021-04-03,5203
2021-04-04,5386
2021-04-05,4458
2021-04-06,4325
2021-04-07,4400
2021-04-08,5520
2021-04-09,5695
2021-04-10,5421
2021-04-11,5472
2021-04-12,4830
2021-04-13,5535
2021-04-14,5637
2021-04-15,6257
2021-04-16,7068
2021-04-17,6816
2021-04-18,5782
2021-04-19,4383
2021-04-20,4351
2021-04-21,4589
2021-04-22,5055
2021-04-23,5562
2021-04-24,5245
2021-04-25,4869
2021-04-26,4675
2021-04-27,4577
2021-04-28,4777
2021-04-29,4881
2021-04-30,5564
2021-05-01,8449
2021-05-02,7105
2021-05-03,7595
2021-05-04,7491
2021-05-05,7000
2021-05-06,5326
2021-05-07,5976
2021-05-08,5788
2021-05-09,5147
2021-05-10,5496
2021-05-11,5430
2021-05-12,4862
2021-05-13,5460
2021-05-14,5550
2021-05-15,5116
2021-05-16,4859
2021-05-17,5315
2021-05-18,20093
2021-05-19,22324
2021-05-20,24703
2021-05-21,24017
2021-05-22,24032
2021-05-23,4746
2021-05-24,4888
2021-05-25,4425
2021-05-26,5246
2021-05-27,5227
2021-05-28,5727
2021-05-29,5890
2021-05-30,5301
2021-05-31,5518
2021-06-01,5314
2021-06-02,5940
2021-06-03,6869
2021-06-04,6347
2021-06-05,6019
2021-06-06,5695
2021-06-07,5640
2021-06-08,5276
2021-06-09,5187
2021-06-10,6608
2021-06-11,6147
2021-06-12,6282
2021-06-13,5348
2021-06-14,5659
2021-06-15,5185
2021-06-16,6003
2021-06-17,5589
2021-06-18,6379
2021-06-19,6024
2021-06-20,4989
2021-06-21,5175
2021-06-22,5524
2021-06-23,5787
2021-06-24,5144
2021-06-25,6053
2021-06-26,6114
2021-06-27,5527
2021-06-28,5574
2021-06-29,5209
2021-06-30,5104
2021-07-01,6502
2021-07-02,6594
2021-07-03,6918
2021-07-04,5989
2021-07-05,5773
2021-07-06,6266
2021-07-07,5344
2021-07-08,6922
2021-07-09,6407
2021-07-10,9858
2021-07-11,9314
2021-07-12,8981
2021-07-13,8657
2021-07-14,9239
2021-07-15,6327
2021-07-16,6493
2021-07-17,6455
2021-07-18,5911
2021-07-19,5438
2021-07-20,5069
2021-07-21,5633
2021-07-22,5925
2021-07-23,6240
2021-07-24,6669
2021-07-25,5611
2021-07-26,5360
2021-07-27,5369
2021-07-28,13028
2021-07-29,16618
2021-07-30,16844
2021-07-31,14357
2021-08-01,14509
2021-08-02,14979
2021-08-03,12898
2021-08-04,13698
2021-08-05,15966
2021-08-06,14242
2021-08-07,16100
2021-08-08,8670
2021-08-09,7688
2021-08-10,7445
2021-08-11,7046
2021-08-12,7026
2021-08-13,7616
2021-08-14,9341
2021-08-15,9412
2021-08-16,7560
2021-08-17,6297
2021-08-18,6103
2021-08-19,6268
2021-08-20,6680
2021-08-21,6179
2021-08-22,5554
2021-08-23,5430
2021-08-24,5479
2021-08-25,6757
2021-08-26,19431
2021-08-27,21555
2021-08-28,21959
2021-08-29,19002
2021-08-30,17125
2021-08-31,18180
2021-09-01,15202
2021-09-02,15233
2021-09-03,15500
2021-09-04,15396
2021-09-05,21906
2021-09-06,19312
2021-09-07,18808
2021-09-08,19907
2021-09-09,22624
2021-09-10,22430
2021-09-11,22936
2021-09-12,19813
2021-09-13,20933
2021-09-14,19339
2021-09-15,19143
2021-09-16,15206
2021-09-17,16165
2021-09-18,7851
2021-09-19,7776
2021-09-20,6374
2021-09-21,6374
2021-09-22,6451
2021-09-23,7150
2021-09-24,6964
2021-09-25,6587
2021-09-26,6189
2021-09-27,5926
2021-09-28,5471
2021-09-29,5821
2021-09-30,6136
2021-10-01,9025
2021-10-02,7765
2021-10-03,7516
2021-10-04,7711
2021-10-05,7308
2021-10-06,28422
2021-10-07,8388
2021-10-08,7566
2021-10-09,7874
2021-10-10,8016
2021-10-11,8390
2021-10-12,8023
2021-10-13,7928
2021-10-14,8544
2021-10-15,8191
2021-10-16,6037
2021-10-17,5061
2021-10-18,5302
2021-10-19,5083
2021-10-20,5846
2021-10-21,4930
2021-10-22,5465
2021-10-23,5384
2021-10-24,10675
2021-10-25,32855
2021-10-26,27465
2021-10-27,33759
2021-10-28,35503
2021-10-29,39730
2021-10-30,31371
2021-10-31,30491
2021-11-01,13397
2021-11-02,12028
2021-11-03,12160
2021-11-04,11635
2021-11-05,12707
2021-11-06,12826
2021-11-07,13019
2021-11-08,13879
2021-11-09,11340
2021-11-10,57486
