Date,Region_ID,Meals_Distributed,Meals_Requested,Temperature,Rainfall,Festival_Flag,Disaster_Flag,Population,Food_Availability_Index
2026-01-01,R01,1694,1694,21.0,3.1,0,0,2158375,0.9067
2026-01-02,R01,1796,2356,21.1,0.0,0,0,2193637,0.9225
2026-01-03,R01,1726,2130,24.6,2.6,0,0,2175220,0.9017
2026-01-04,R01,1604,1604,21.8,0.0,0,0,2165763,0.8475
2026-01-05,R01,1378,1693,21.8,4.6,0,0,2178738,0.954
2026-01-06,R01,1576,1796,31.6,0.0,0,0,2172321,0.9093
2026-01-07,R01,1507,1694,23.4,0.0,0,0,2160160,0.8332
2026-01-08,R01,1374,1709,25.3,1.8,0,0,2190024,0.8897
2026-01-09,R01,1484,1643,18.9,0.0,0,0,2168333,0.8616
2026-01-10,R01,1703,2192,21.2,0.0,0,0,2163962,0.9439
2026-01-11,R01,3447,4903,22.8,3.2,0,1,2192655,0.9168
2026-01-12,R01,3458,5120,26.3,0.0,0,1,2182182,0.9073
2026-01-13,R01,4743,6861,21.9,0.0,1,1,2184438,0.8808
2026-01-14,R01,4952,7070,27.2,3.3,1,1,2177111,0.8435
2026-01-15,R01,4934,7397,23.4,1.5,1,1,2182471,0.8662
2026-01-16,R01,20234,35486,21.8,4.0,1,1,2199755,0.8625
2026-01-17,R01,7062,12040,21.7,4.5,1,1,2184849,0.8764
2026-01-18,R01,4901,8258,21.9,2.0,0,1,2188860,0.8293
2026-01-19,R01,3887,6535,25.5,0.6,0,1,2151169,0.9184
2026-01-20,R01,4139,6976,23.9,1.5,0,1,2169720,0.9123
2026-01-21,R01,3864,6788,24.2,5.3,0,1,2169709,0.9422
2026-01-22,R01,1352,1764,19.0,0.0,0,0,2158689,0.8212
2026-01-23,R01,1552,1793,23.0,2.1,0,0,2176517,0.8718
2026-01-24,R01,3539,5965,24.2,5.4,0,1,2174563,0.8944
2026-01-25,R01,1468,1800,26.7,6.7,1,0,2165239,1.0
2026-01-26,R01,1775,1902,26.6,0.0,1,0,2201277,0.9071
2026-01-27,R01,1490,1682,26.2,6.6,1,0,2168493,0.8954
2026-01-28,R01,1524,1799,21.4,7.3,0,0,2208347,0.9001
2026-01-29,R01,1362,1362,24.6,12.2,0,0,2173684,0.8606
2026-01-30,R01,1527,1675,21.1,0.0,0,0,2166850,0.9074
2026-01-31,R01,1449,1638,28.6,1.4,0,0,2199067,0.943
2026-02-01,R01,1455,1777,27.1,0.0,0,0,2189220,0.8867
2026-02-02,R01,1564,1745,28.8,0.0,0,0,2176687,0.9678
2026-02-03,R01,1366,1704,26.5,0.0,0,0,2167047,0.8948
2026-02-04,R01,1494,1789,24.1,2.7,0,0,2176154,0.9114
2026-02-05,R01,1596,1932,23.0,7.5,0,0,2177738,0.9011
2026-02-06,R01,1396,2036,25.1,0.0,0,0,2165645,0.8578
2026-02-07,R01,1586,1760,27.1,8.7,0,0,2190451,0.9689
2026-02-08,R01,1549,1664,28.8,4.4,0,0,2180735,0.9348
2026-02-09,R01,1374,1425,25.0,0.0,0,0,2190719,0.8658
2026-02-10,R01,1549,1698,29.5,0.0,0,0,2169691,0.841
2026-02-11,R01,1642,1828,24.6,0.9,0,0,2183956,0.8809
2026-02-12,R01,1712,1749,24.3,5.2,0,0,2156720,0.884
2026-02-13,R01,1791,1791,23.7,10.9,0,0,2177226,0.8995
2026-02-14,R01,1666,1815,26.1,0.0,0,0,2182795,0.8917
2026-02-15,R01,1335,1487,28.4,0.5,0,0,2177085,0.9667
2026-02-16,R01,1398,1530,27.0,1.5,0,0,2172744,0.9578
2026-02-17,R01,1198,1620,23.7,10.4,0,0,2172369,0.9384
2026-02-18,R01,1129,1648,29.4,0.0,0,0,2179514,0.8585
2026-02-19,R01,1552,1628,29.6,4.1,0,0,2182036,0.8816
2026-02-20,R01,1324,1414,26.9,0.0,0,0,2190354,0.829
2026-02-21,R01,1550,1742,23.5,0.0,0,0,2202730,0.8757
2026-02-22,R01,1297,1413,26.6,11.0,0,0,2174608,0.843
2026-02-23,R01,968,1475,25.9,3.4,0,0,2174086,0.9144
2026-02-24,R01,1304,1304,25.2,0.0,0,0,2173904,0.9058
2026-02-25,R01,1449,1449,25.6,1.6,0,0,2192699,0.904
2026-02-26,R01,1504,1672,26.6,0.0,0,0,2198099,0.8244
2026-02-27,R01,1567,1723,26.9,7.5,0,0,2185338,0.8973
2026-02-28,R01,1274,1751,26.5,8.9,0,0,2188282,0.8874
2026-03-01,R01,1781,1847,26.9,3.8,0,0,2198228,0.9058
2026-03-02,R01,1564,2033,29.6,0.0,0,0,2185432,0.9056
2026-03-03,R01,1567,1787,30.4,0.0,0,0,2184832,0.8977
2026-03-04,R01,1378,1466,23.4,1.0,0,0,2189478,0.9187
2026-03-05,R01,1475,1660,27.7,1.5,0,0,2182500,0.8936
2026-03-06,R01,1522,1588,31.3,0.0,0,0,2192423,0.8996
2026-03-07,R01,2506,2508,30.8,2.2,1,0,2176172,0.867
2026-03-08,R01,2103,2473,32.3,4.1,1,0,2174431,0.9189
2026-03-09,R01,2058,2286,30.0,0.0,1,0,2176306,0.8565
2026-03-10,R01,2225,2462,30.6,6.7,1,0,2184507,0.841
2026-03-11,R01,1904,2521,30.4,0.0,1,0,2189464,0.8753
2026-03-12,R01,2650,2906,29.9,9.3,1,0,2186474,0.8585
2026-03-13,R01,1755,1755,30.6,5.0,0,0,2176802,0.8626
2026-03-14,R01,1479,1744,26.8,3.0,0,0,2162101,0.8337
2026-03-15,R01,1388,1534,31.4,9.9,0,0,2190008,0.8654
2026-03-16,R01,1294,1514,29.8,4.4,0,0,2168766,0.9034
2026-03-17,R01,1534,1538,27.9,5.2,0,0,2178639,0.8972
2026-03-18,R01,1290,1591,32.9,4.1,0,0,2175483,0.8801
2026-03-19,R01,1598,1602,32.0,0.0,0,0,2178951,0.905
2026-03-20,R01,1481,1982,29.3,0.0,0,0,2186104,0.8769
2026-03-21,R01,1707,1707,25.1,1.1,0,0,2196258,0.8883
2026-03-22,R01,1204,1694,26.9,9.2,0,0,2178993,0.8768
2026-03-23,R01,1502,1502,25.4,0.0,0,0,2187167,0.8745
2026-03-24,R01,1334,1574,26.1,4.0,0,0,2162400,0.9409
2026-03-25,R01,1279,1748,27.3,4.3,0,0,2176199,0.8822
2026-03-26,R01,1685,1685,24.3,0.0,0,0,2186763,0.8792
2026-03-27,R01,1622,1622,22.2,9.7,0,0,2188277,0.9297
2026-03-28,R01,1306,1655,29.5,0.0,0,0,2203892,0.9152
2026-03-29,R01,1673,1767,31.3,0.0,0,0,2200227,0.8789
2026-03-30,R01,1480,1751,29.7,4.6,0,0,2179331,0.9169
2026-03-31,R01,1316,1442,33.2,0.0,0,0,2162414,0.9168
2026-01-01,R02,1827,3119,17.8,0.0,0,1,722509,1.0
2026-01-02,R02,2009,3467,19.9,5.1,0,1,722245,0.9395
2026-01-03,R02,939,1025,23.5,0.0,0,0,724158,0.929
2026-01-04,R02,1046,1046,19.3,0.0,0,0,721864,0.9266
2026-01-05,R02,1012,1245,18.7,2.3,0,0,730474,0.8877
2026-01-06,R02,926,926,18.1,5.6,0,0,720697,0.9498
2026-01-07,R02,1033,1154,13.2,0.0,0,0,724591,0.9301
2026-01-08,R02,928,1226,21.2,3.3,0,0,721755,0.8764
2026-01-09,R02,1070,1335,20.8,0.4,0,0,726058,0.8059
2026-01-10,R02,1042,1042,13.5,0.0,0,0,721898,0.9426
